iter	RMSE
0	79308.4367
1	79155.19534
2	78995.81062
3	78828.75831
4	78664.65981
5	78503.09642
6	78360.1999
7	78209.83998
8	78063.13845
9	77916.96577
10	77777.91304
11	77630.70244
12	77480.49241
13	77330.47293
14	77196.67452
15	77053.51305
16	76924.18914
17	76784.32416
18	76642.22657
19	76499.7487
20	76361.33248
21	76219.11464
22	76086.72088
23	75939.90193
24	75799.04551
25	75660.38843
26	75518.37349
27	75376.11516
28	75231.7931
29	75095.02768
30	74956.43872
31	74814.98915
32	74662.61378
33	74527.62028
34	74394.31904
35	74246.00947
36	74112.97989
37	73970.97103
38	73828.81179
39	73710.34351
40	73575.42519
41	73441.0563
42	73304.3817
43	73168.85712
44	73031.0872
45	72913.88981
46	72792.54918
47	72656.67732
48	72520.69668
49	72382.52033
50	72246.04872
51	72106.97868
52	71972.71319
53	71824.06583
54	71688.89759
55	71559.58527
56	71426.39515
57	71303.501
58	71172.04375
59	71042.64077
60	70902.45933
61	70774.56501
62	70642.09726
63	70518.80371
64	70380.83639
65	70246.36056
66	70114.32267
67	69992.88981
68	69868.76266
69	69735.53061
70	69611.09678
71	69475.74056
72	69359.22125
73	69239.54485
74	69123.201
75	68988.96359
76	68863.17873
77	68743.48096
78	68623.19128
79	68495.89445
80	68366.20023
81	68247.10519
82	68128.39275
83	68006.00351
84	67888.54556
85	67775.42846
86	67657.95192
87	67542.61717
88	67433.4079
89	67323.91829
90	67199.05672
91	67076.35804
92	66964.0488
93	66836.35232
94	66720.01496
95	66602.78224
96	66481.42279
97	66359.87595
98	66246.15874
99	66138.10231
100	66028.35831
101	65906.60052
102	65786.6667
103	65671.48588
104	65562.44048
105	65446.32324
106	65346.74438
107	65240.61577
108	65126.15601
109	65004.70984
110	64889.65422
111	64776.45752
112	64670.84592
113	64549.8565
114	64443.16203
115	64340.77852
116	64234.09681
117	64121.20284
118	64015.17692
119	63908.18437
120	63818.18915
121	63714.72375
122	63607.45991
123	63506.47207
124	63397.0587
125	63291.47119
126	63183.3761
127	63075.79719
128	62966.63623
129	62866.07201
130	62766.89134
131	62666.32286
132	62561.63832
133	62464.6619
134	62354.73337
135	62244.06159
136	62139.04352
137	62032.33002
138	61923.06041
139	61825.20113
140	61712.90366
141	61624.90562
142	61522.31056
143	61432.58558
144	61334.07516
145	61228.23498
146	61123.39812
147	61016.08305
148	60906.47528
149	60803.12429
150	60691.48652
151	60595.10159
152	60494.82323
153	60394.62377
154	60297.33933
155	60206.28908
156	60116.3242
157	60015.50921
158	59910.68194
159	59813.1884
160	59713.2633
161	59625.23813
162	59526.08121
163	59432.8536
164	59336.46723
165	59248.5259
166	59148.36525
167	59058.01648
168	58954.937
169	58854.46594
170	58754.2154
171	58661.8272
172	58572.59498
173	58483.36356
174	58392.51665
175	58311.30063
176	58220.79231
177	58131.96411
178	58031.18835
179	57936.33597
180	57846.99427
181	57753.67531
182	57659.18329
183	57561.82531
184	57461.86566
185	57379.25332
186	57286.35379
187	57198.11298
188	57107.77763
189	57022.259
190	56931.7436
191	56837.34869
192	56738.99847
193	56670.01659
194	56575.5945
195	56486.86475
196	56392.67445
197	56314.26033
198	56245.66551
199	56147.66379
200	56060.58434
201	55969.70518
202	55883.10256
203	55800.17367
204	55712.03201
205	55637.87404
206	55556.09421
207	55472.66862
208	55382.80425
209	55298.68631
210	55215.54428
211	55140.28882
212	55056.66739
213	54979.53872
214	54893.19274
215	54807.46977
216	54719.15831
217	54646.02423
218	54581.80007
219	54507.2754
220	54426.13475
221	54342.75926
222	54259.1517
223	54175.94231
224	54098.73359
225	54022.83894
226	53932.25639
